time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed
0.266,predictive,drive_to_B,0.0001,0.0,0.0,1,0.071
0.417,predictive,drive_to_B,0.018,0.0,0.0,1,0.021
0.566,predictive,drive_to_B,0.0367,0.0,0.01,1,0.013
0.716,predictive,drive_to_B,0.0405,0.0,0.01,1,0.003
0.816,predictive,drive_to_B,0.042,0.0,0.01,1,0.007
0.966,predictive,drive_to_B,0.0453,0.0,0.01,1,0.004
1.066,predictive,drive_to_B,0.0484,0.0,0.01,1,0.005
1.166,predictive,drive_to_B,0.0515,0.0,0.01,1,0.005
1.316,predictive,drive_to_B,0.0576,0.0,0.01,1,0.005
1.416,predictive,drive_to_B,0.0634,0.0,0.0,1,0.005
1.566,predictive,drive_to_B,0.0725,0.0,0.0,1,0.005
1.666,predictive,drive_to_B,0.0789,0.0,0.01,1,0.005
1.766,predictive,drive_to_B,0.0853,0.0001,0.0,1,0.006
1.866,predictive,drive_to_B,0.0936,0.0001,0.01,1,0.004
2.016,predictive,drive_to_B,0.1062,0.0001,0.01,1,0.005
2.166,predictive,drive_to_B,0.1205,0.0001,0.02,1,0.005
2.266,predictive,drive_to_B,0.1301,0.0001,0.02,1,0.005
2.416,predictive,drive_to_B,0.1449,0.0001,0.03,1,0.005
2.516,predictive,drive_to_B,0.1552,0.0001,0.03,1,0.005
2.616,predictive,drive_to_B,0.1663,0.0001,0.04,1,0.005
2.766,predictive,drive_to_B,0.1765,0.0001,0.04,1,0.005
2.916,predictive,drive_to_B,0.1798,0.0001,0.04,1,0.005
3.016,predictive,drive_to_B,0.1829,0.0001,0.04,1,0.005
3.116,predictive,drive_to_B,0.1867,0.0001,0.04,1,0.005
3.266,predictive,drive_to_B,0.1932,0.0001,0.05,1,0.005
3.366,predictive,drive_to_B,0.1984,0.0001,0.05,1,0.004
3.466,predictive,drive_to_B,0.2044,0.0001,0.05,1,0.004
3.616,predictive,drive_to_B,0.2134,0.0001,0.05,1,0.006
3.716,predictive,drive_to_B,0.2195,0.0001,0.05,1,0.004
3.866,predictive,drive_to_B,0.2305,0.0002,0.06,1,0.005
3.966,predictive,drive_to_B,0.2383,0.0002,0.07,1,0.005
4.116,predictive,drive_to_B,0.2526,0.0002,0.07,1,0.005
4.217,predictive,drive_to_B,0.2623,0.0002,0.07,1,0.005
4.366,predictive,drive_to_B,0.2822,0.0002,0.08,1,0.004
4.466,predictive,drive_to_B,0.2926,0.0002,0.08,1,0.004
