time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed
0.236,reactive,drive_to_B,1.1332,0.002,-0.0,1,0.005
0.386,reactive,drive_to_B,1.1376,0.002,-0.0,1,0.005
0.486,reactive,drive_to_B,1.1418,0.002,-0.0,1,0.005
0.636,reactive,drive_to_B,1.1495,0.002,0.0,1,0.005
0.736,reactive,drive_to_B,1.155,0.002,0.0,1,0.005
0.836,reactive,drive_to_B,1.1614,0.0021,0.0,1,0.005
0.936,reactive,drive_to_B,1.1678,0.002,0.0,1,0.005
1.086,reactive,drive_to_B,1.18,0.0021,0.01,1,0.005
1.236,reactive,drive_to_B,1.1917,0.0021,0.01,1,0.005
1.336,reactive,drive_to_B,1.1995,0.0021,0.01,1,0.005
1.486,reactive,drive_to_B,1.2148,0.0021,0.02,1,0.005
1.586,reactive,drive_to_B,1.2235,0.0021,0.02,1,0.005
1.686,reactive,drive_to_B,1.2326,0.0021,0.02,1,0.005
1.836,reactive,drive_to_B,1.2521,0.0021,0.03,1,0.005
1.936,reactive,drive_to_B,1.2654,0.0021,0.03,1,0.005
2.086,reactive,drive_to_B,1.2836,0.0021,0.04,1,0.005
2.236,reactive,drive_to_B,1.289,0.0021,0.04,1,0.005
2.386,reactive,drive_to_B,1.2919,0.0021,0.04,1,0.005
2.536,reactive,drive_to_B,1.2963,0.0021,0.04,1,0.005
2.686,reactive,drive_to_B,1.3022,0.0021,0.04,1,0.005
2.786,reactive,drive_to_B,1.3076,0.0021,0.05,1,0.005
2.887,reactive,drive_to_B,1.3137,0.0021,0.05,1,0.005
3.036,reactive,drive_to_B,1.3224,0.0021,0.05,1,0.005
3.186,reactive,drive_to_B,1.3333,0.0021,0.06,1,0.005
3.286,reactive,drive_to_B,1.3432,0.0021,0.06,1,0.005
3.436,reactive,drive_to_B,1.3557,0.0022,0.06,1,0.005
3.536,reactive,drive_to_B,1.365,0.0022,0.06,1,0.005
3.686,reactive,drive_to_B,1.3799,0.0022,0.06,1,0.005
3.836,reactive,drive_to_B,1.3995,0.0022,0.06,1,0.005
3.986,reactive,drive_to_B,1.4167,0.0022,0.07,1,0.005
4.136,reactive,drive_to_B,1.4316,0.0022,0.07,1,0.005
4.236,reactive,drive_to_B,1.4322,0.0022,0.07,1,0.005
4.336,reactive,drive_to_B,1.4344,0.0022,0.07,1,0.005
4.486,reactive,drive_to_B,1.4383,0.0022,0.08,1,0.005
4.636,reactive,drive_to_B,1.4431,0.0022,0.08,1,0.005
4.736,reactive,drive_to_B,1.4463,0.0022,0.08,1,0.005
4.886,reactive,drive_to_B,1.4529,0.0022,0.08,1,0.005
4.986,reactive,drive_to_B,1.4583,0.0022,0.08,1,0.005
5.136,reactive,drive_to_B,1.4672,0.0023,0.08,1,0.005
5.286,reactive,drive_to_B,1.4787,0.0023,0.08,1,0.005
5.436,reactive,drive_to_B,1.4926,0.0023,0.08,1,0.005
5.536,reactive,drive_to_B,1.5002,0.0023,0.09,1,0.005
5.686,reactive,drive_to_B,1.5147,0.0023,0.09,1,0.005
5.786,reactive,drive_to_B,1.5235,0.0023,0.1,1,0.005
5.886,reactive,drive_to_B,1.5367,0.0023,0.1,1,0.005
6.036,reactive,drive_to_B,1.5534,0.0024,0.11,1,0.005
6.136,reactive,drive_to_B,1.5641,0.0024,0.11,1,0.005
6.236,reactive,drive_to_B,1.5791,0.0024,0.11,1,0.005
6.386,reactive,drive_to_B,1.5822,0.0024,0.11,1,0.005
6.486,reactive,drive_to_B,1.5835,0.0024,0.11,1,0.005
6.587,reactive,drive_to_B,1.5858,0.0024,0.11,1,0.005
6.736,reactive,drive_to_B,1.59,0.0024,0.12,1,0.005
6.836,reactive,drive_to_B,1.5933,0.0024,0.12,1,0.005
6.986,reactive,drive_to_B,1.5991,0.0024,0.12,1,0.005
7.086,reactive,drive_to_B,1.6037,0.0024,0.12,1,0.005
7.236,reactive,drive_to_B,1.6108,0.0024,0.12,1,0.005
7.336,reactive,drive_to_B,1.617,0.0024,0.12,1,0.005
7.486,reactive,drive_to_B,1.6264,0.0025,0.13,1,0.005
7.636,reactive,drive_to_B,1.6378,0.0025,0.13,1,0.005
7.786,reactive,drive_to_B,1.649,0.0025,0.13,1,0.005
7.886,reactive,drive_to_B,1.6574,0.0025,0.13,1,0.005
8.036,reactive,drive_to_B,1.6745,0.0025,0.13,1,0.005
8.186,reactive,drive_to_B,1.6897,0.0025,0.13,1,0.005
8.336,reactive,drive_to_B,1.7098,0.0025,0.14,1,0.005
8.486,reactive,drive_to_B,1.728,0.0025,0.14,1,0.005
8.586,reactive,drive_to_B,1.7362,0.0026,0.14,1,0.005
8.736,reactive,drive_to_B,1.7397,0.0026,0.14,1,0.005
8.886,reactive,drive_to_B,1.7448,0.0026,0.14,1,0.005
8.986,reactive,drive_to_B,1.7492,0.0026,0.14,1,0.005
9.086,reactive,drive_to_B,1.7553,0.0026,0.14,1,0.005
9.236,reactive,drive_to_B,1.7657,0.0026,0.14,1,0.005
9.336,reactive,drive_to_B,1.7731,0.0026,0.15,1,0.005
9.486,reactive,drive_to_B,1.7851,0.0026,0.15,1,0.005
9.636,reactive,drive_to_B,1.7973,0.0026,0.15,1,0.005
9.786,reactive,drive_to_B,1.8104,0.0026,0.16,1,0.005
9.886,reactive,drive_to_B,1.8228,0.0026,0.16,1,0.005
10.036,reactive,drive_to_B,1.8376,0.0027,0.16,1,0.005
10.136,reactive,drive_to_B,1.8472,0.0027,0.16,1,0.005
10.236,reactive,drive_to_B,1.8472,0.0027,0.16,1,0.005
10.336,reactive,drive_to_B,1.8577,0.0027,0.16,1,0.005
10.486,reactive,drive_to_B,1.8676,0.0027,0.16,1,0.005
10.636,reactive,drive_to_B,1.8688,0.0027,0.16,1,0.005
10.787,reactive,drive_to_B,1.874,0.0027,0.16,1,0.005
10.936,reactive,drive_to_B,1.8759,0.0027,0.17,1,0.005
11.037,reactive,drive_to_B,1.8812,0.0027,0.17,1,0.005
11.186,reactive,drive_to_B,1.8895,0.0027,0.17,1,0.005
11.336,reactive,drive_to_B,1.9013,0.0027,0.17,1,0.005
11.436,reactive,drive_to_B,1.9085,0.0028,0.17,1,0.005
11.586,reactive,drive_to_B,1.9133,0.0028,0.17,1,0.005
11.736,reactive,drive_to_B,1.9272,0.0028,0.18,1,0.005
11.886,reactive,drive_to_B,1.9436,0.0028,0.18,1,0.005
11.986,reactive,drive_to_B,1.9536,0.0028,0.18,1,0.005
12.136,reactive,drive_to_B,1.9709,0.0028,0.18,1,0.005
12.286,reactive,drive_to_B,1.9743,0.0028,0.18,1,0.005
12.386,reactive,drive_to_B,1.9781,0.0028,0.19,1,0.005
12.486,reactive,drive_to_B,1.9798,0.0028,0.19,1,0.005
12.586,reactive,drive_to_B,1.9829,0.0028,0.19,1,0.005
12.686,reactive,drive_to_B,1.9862,0.0029,0.18,1,0.005
12.786,reactive,drive_to_B,1.9902,0.0029,0.19,1,0.005
12.936,reactive,drive_to_B,1.9942,0.0029,0.19,1,0.005
13.036,reactive,drive_to_B,1.9974,0.0029,0.19,1,0.005
13.186,reactive,drive_to_B,2.0073,0.0029,0.2,1,0.005
13.286,reactive,drive_to_B,2.0145,0.0029,0.2,1,0.005
13.386,reactive,drive_to_B,2.0216,0.0029,0.2,1,0.005
13.536,reactive,drive_to_B,2.0343,0.0029,0.2,1,0.005
13.686,reactive,drive_to_B,2.0404,0.003,0.21,1,0.005
13.786,reactive,drive_to_B,2.0496,0.003,0.21,1,0.005
13.936,reactive,drive_to_B,2.0661,0.003,0.21,1,0.005
14.086,reactive,drive_to_B,2.0841,0.003,0.21,1,0.005
14.236,reactive,drive_to_B,2.0994,0.0031,0.21,1,0.005
14.337,reactive,drive_to_B,2.1006,0.0031,0.21,1,0.005
14.486,reactive,drive_to_B,2.1019,0.0031,0.21,1,0.005
14.586,reactive,drive_to_B,2.1035,0.0031,0.21,1,0.005
14.686,reactive,drive_to_B,2.1058,0.0031,0.21,1,0.005
14.836,reactive,drive_to_B,2.1098,0.0031,0.21,1,0.005
14.936,reactive,drive_to_B,2.1115,0.0031,0.21,1,0.005
15.036,reactive,drive_to_B,2.114,0.0031,0.22,1,0.005
15.186,reactive,drive_to_B,2.1219,0.0031,0.22,1,0.005
15.286,reactive,drive_to_B,2.1287,0.0031,0.22,1,0.005
15.436,reactive,drive_to_B,2.1399,0.0032,0.22,1,0.005
15.586,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
15.736,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
15.886,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
16.036,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
16.136,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
16.236,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
16.386,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
16.486,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
16.636,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
16.786,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
16.886,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
16.986,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
17.086,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
17.186,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
17.336,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
17.486,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
17.636,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
17.736,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
17.886,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
18.036,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
18.136,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
18.286,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
18.436,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
18.536,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
18.636,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
18.736,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
18.886,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
19.036,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
19.186,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
19.336,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
19.436,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
19.536,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
19.636,reactive,drive_to_B,2.147,0.0032,0.21,1,0.005
