t,n_obstacles,max_obs_speed,min_obstacle_dist
32.907,2,0.0,2.211
33.001,2,0.0,2.211
33.058,2,0.0,2.189
33.184,2,0.0,2.193
33.24,2,0.0,2.193
33.436,2,0.0,2.189
33.588,2,0.0,2.204
33.654,2,0.0,2.21
33.761,2,0.0,2.19
33.875,2,0.0,2.199
33.954,2,0.0,2.199
34.087,2,0.0,2.2
34.158,2,0.0,2.2
34.276,2,0.0,2.178
34.345,2,0.0,2.187
34.498,2,0.0,2.187
34.557,2,0.0,2.19
34.68,2,0.0,2.205
34.805,2,0.0,2.206
34.862,2,0.0,2.21
35.08,2,0.0,2.214
35.209,2,0.0,2.198
35.394,2,0.0,2.188
35.556,2,0.0,2.206
35.616,2,0.0,2.198
35.82,2,0.0,2.184
35.965,2,0.0,2.184
36.037,2,0.0,2.184
36.15,2,0.0,2.203
36.308,2,0.0,2.198
36.409,2,0.0,2.198
36.505,2,0.0,2.197
36.563,2,0.0,2.188
36.685,2,0.0,2.221
36.747,2,0.0,2.221
37.042,2,0.0,2.208
37.155,2,0.0,2.193
37.28,3,0.0,2.179
37.366,2,0.0,2.334
37.48,3,0.0,2.244
37.684,2,0.0,2.207
37.799,2,0.0,2.207
38.007,2,0.0,2.203
38.115,2,0.0,2.203
38.261,2,0.0,2.203
38.323,2,0.0,2.193
38.435,2,0.0,2.196
38.603,2,0.0,2.214
38.67,2,0.0,2.209
38.772,2,0.0,2.215
38.834,2,0.0,2.215
39.233,2,0.0,2.191
39.347,2,0.0,2.203
39.521,2,0.0,2.188
39.621,2,0.0,2.188
39.718,2,0.0,2.213
39.773,2,0.0,2.201
39.932,2,0.0,2.202
40.144,2,0.0,2.214
40.255,2,0.0,2.222
40.406,2,0.0,2.225
40.518,2,0.0,2.188
40.573,2,0.0,2.181
40.694,2,0.0,2.208
40.836,2,0.0,2.21
40.951,2,0.0,2.21
41.147,2,0.0,2.198
41.212,2,0.0,2.173
41.373,2,0.0,2.173
41.476,2,0.0,2.173
41.595,2,0.0,2.213
41.786,2,0.0,2.206
41.894,2,0.0,2.206
42.011,2,0.0,2.198
42.243,2,0.0,2.194
42.356,2,0.0,2.194
42.475,2,0.0,2.188
42.655,2,0.0,2.178
42.84,2,0.0,2.178
42.968,2,0.0,2.211
43.304,2,0.0,2.179
43.459,2,0.0,2.19
43.513,2,0.0,2.208
43.711,2,0.0,2.179
43.84,2,0.0,2.179
43.995,2,0.0,2.19
44.053,2,0.0,2.197
44.114,2,0.0,2.197
44.487,2,0.0,2.184
44.598,2,0.0,2.191
44.791,2,0.0,2.191
44.989,2,0.0,2.18
45.046,2,0.0,2.209
45.104,2,0.0,2.209
45.402,2,0.0,2.196
45.52,2,0.0,2.215
45.632,2,0.0,2.192
45.763,2,0.0,2.198
45.823,2,0.0,2.215
45.936,2,0.0,2.212
46.127,2,0.0,2.188
46.596,2,0.0,2.212
46.723,2,0.0,2.212
46.81,2,0.0,2.212
46.929,2,0.0,2.204
47.043,2,0.0,2.203
47.106,2,0.0,2.203
47.337,2,0.0,2.203
47.447,2,0.0,2.179
47.603,2,0.0,2.182
47.668,2,0.0,2.169
47.773,2,0.0,2.169
47.889,2,0.0,2.203
47.947,2,0.0,2.218
48.091,2,0.0,2.218
48.18,2,0.0,2.218
48.273,2,0.0,2.208
48.431,2,0.0,2.193
48.579,2,0.0,2.192
