time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed
0.24,reactive,drive_to_B,0.0001,0.0,0.01,1,0.005
0.39,reactive,drive_to_B,0.0086,0.0,0.01,1,0.005
0.49,reactive,drive_to_B,0.0147,0.0,0.01,1,0.005
0.59,reactive,drive_to_B,0.022,0.0,0.01,1,0.005
0.74,reactive,drive_to_B,0.0339,0.0,0.02,1,0.005
0.84,reactive,drive_to_B,0.0413,0.0,0.02,1,0.005
0.99,reactive,drive_to_B,0.0562,0.0,0.02,1,0.005
1.09,reactive,drive_to_B,0.0657,0.0,0.02,1,0.005
1.19,reactive,drive_to_B,0.0797,0.0,0.03,1,0.005
1.34,reactive,drive_to_B,0.0972,0.0001,0.04,1,0.005
1.49,reactive,drive_to_B,0.113,0.0001,0.04,1,0.005
1.59,reactive,drive_to_B,0.1135,0.0001,0.04,1,0.005
1.74,reactive,drive_to_B,0.1162,0.0001,0.04,1,0.005
1.84,reactive,drive_to_B,0.1187,0.0001,0.04,1,0.005
1.99,reactive,drive_to_B,0.1231,0.0001,0.04,1,0.005
2.09,reactive,drive_to_B,0.1269,0.0001,0.04,1,0.005
2.24,reactive,drive_to_B,0.1337,0.0001,0.04,1,0.005
2.34,reactive,drive_to_B,0.1394,0.0001,0.04,1,0.005
2.44,reactive,drive_to_B,0.1453,0.0001,0.04,1,0.005
2.59,reactive,drive_to_B,0.1546,0.0001,0.04,1,0.005
2.739,reactive,drive_to_B,0.1681,0.0001,0.04,1,0.005
2.84,reactive,drive_to_B,0.1742,0.0001,0.05,1,0.005
2.94,reactive,drive_to_B,0.1854,0.0001,0.05,1,0.005
3.09,reactive,drive_to_B,0.1977,0.0001,0.05,1,0.005
3.239,reactive,drive_to_B,0.2185,0.0001,0.06,1,0.005
3.34,reactive,drive_to_B,0.2297,0.0001,0.06,1,0.005
3.441,reactive,drive_to_B,0.2328,0.0001,0.06,1,0.005
3.59,reactive,drive_to_B,0.2341,0.0001,0.06,1,0.005
3.69,reactive,drive_to_B,0.2364,0.0001,0.06,1,0.005
3.79,reactive,drive_to_B,0.2399,0.0001,0.06,1,0.005
3.891,reactive,drive_to_B,0.2442,0.0001,0.06,1,0.005
4.041,reactive,drive_to_B,0.2534,0.0002,0.07,1,0.005
4.19,reactive,drive_to_B,0.261,0.0002,0.07,1,0.005
4.34,reactive,drive_to_B,0.2715,0.0002,0.07,1,0.005
4.49,reactive,drive_to_B,0.2827,0.0002,0.07,1,0.005
4.64,reactive,drive_to_B,0.2954,0.0002,0.08,1,0.005
4.79,reactive,drive_to_B,0.3099,0.0002,0.08,1,0.005
4.939,reactive,drive_to_B,0.3241,0.0002,0.08,1,0.005
5.04,reactive,drive_to_B,0.3359,0.0002,0.09,1,0.005
5.14,reactive,drive_to_B,0.3493,0.0002,0.09,1,0.005
5.29,reactive,drive_to_B,0.3631,0.0002,0.09,1,0.005
5.44,reactive,drive_to_B,0.3786,0.0003,0.09,1,0.005
5.589,reactive,drive_to_B,0.3795,0.0003,0.09,1,0.005
5.69,reactive,drive_to_B,0.3809,0.0003,0.09,1,0.005
5.84,reactive,drive_to_B,0.384,0.0003,0.09,1,0.005
5.99,reactive,drive_to_B,0.3888,0.0003,0.09,1,0.005
6.14,reactive,drive_to_B,0.3939,0.0003,0.09,1,0.005
6.29,reactive,drive_to_B,0.4,0.0003,0.09,1,0.005
6.39,reactive,drive_to_B,0.4056,0.0003,0.09,1,0.005
6.54,reactive,drive_to_B,0.4144,0.0003,0.09,1,0.005
6.69,reactive,drive_to_B,0.4237,0.0003,0.1,1,0.005
6.84,reactive,drive_to_B,0.4378,0.0003,0.1,1,0.005
6.94,reactive,drive_to_B,0.446,0.0003,0.11,1,0.005
7.04,reactive,drive_to_B,0.4576,0.0004,0.11,1,0.005
7.19,reactive,drive_to_B,0.4731,0.0004,0.12,1,0.005
7.34,reactive,drive_to_B,0.4935,0.0004,0.12,1,0.005
7.44,reactive,drive_to_B,0.5041,0.0004,0.13,1,0.005
7.59,reactive,drive_to_B,0.5142,0.0004,0.13,1,0.005
7.74,reactive,drive_to_B,0.5159,0.0004,0.13,1,0.005
