t,n_obstacles,max_obs_speed,min_obstacle_dist
29.786,3,0.0,0.705
29.902,3,0.0,0.704
29.961,3,0.0,0.705
30.265,4,0.0,0.705
30.388,4,0.0,0.703
30.611,4,0.0,0.702
30.726,4,0.0,0.706
30.901,4,0.0,0.707
30.974,4,0.0,0.707
31.095,4,0.0,0.703
31.163,3,0.0734,0.711
31.302,3,0.0209,0.712
31.414,3,0.0209,0.712
31.572,3,0.0,0.704
31.635,3,0.0,0.704
31.762,3,0.0,0.706
31.878,3,0.0,0.706
32.039,3,0.0,0.704
32.209,4,0.0,0.703
32.325,3,0.2028,0.743
32.504,3,0.2028,0.743
32.626,3,0.1502,0.711
32.819,3,0.0,0.706
33.023,3,0.0,0.703
33.201,3,0.0829,0.705
33.29,3,0.0829,0.705
33.369,3,0.0829,0.705
33.451,3,0.0829,0.705
33.567,3,0.0,0.704
33.624,3,0.0,0.703
33.729,3,0.0,0.703
33.893,3,0.0,0.703
33.952,3,0.0,0.709
34.056,3,0.0,0.709
34.213,3,0.1213,0.705
34.275,3,0.1213,0.705
34.339,3,0.1213,0.705
34.439,3,0.0,0.71
34.59,3,0.0,0.71
34.644,3,0.0,0.71
34.768,3,0.0,0.708
34.837,3,0.0,0.704
34.975,3,0.0,0.703
35.031,4,0.0,0.708
35.403,3,0.0,0.702
35.519,3,0.0,0.704
35.713,3,0.0,0.704
35.866,3,0.0,0.704
35.926,3,0.0,0.709
36.046,3,0.0,0.705
36.123,3,0.0,0.705
36.424,3,0.0,0.705
36.579,3,0.0,0.704
36.705,3,0.0,0.704
36.802,3,0.0,0.703
36.864,3,0.0,0.704
37.025,3,0.0,0.706
37.13,3,0.0,0.702
37.36,3,0.0,0.704
37.461,3,0.0,0.704
37.652,3,0.0,0.705
37.707,3,0.0,0.706
37.765,3,0.0,0.706
37.883,3,0.0,0.703
37.972,3,0.0,0.703
38.168,3,0.0,0.703
38.285,3,0.0,0.705
38.485,3,0.0,0.703
38.602,3,0.0,0.704
38.729,3,0.0,0.706
38.875,3,0.0,0.706
39.008,3,0.0,0.704
39.119,3,0.0673,0.711
39.253,3,0.0783,0.71
39.498,3,0.0,0.704
39.61,3,0.0747,0.71
39.739,3,0.0747,0.71
