time_s,mode,segment,robot_x,robot_y,robot_th_deg,n_obstacles,max_obs_speed
0.278,reactive,drive_to_B,0.0005,0.0,0.01,1,0.005
0.428,reactive,drive_to_B,0.0071,0.0,0.01,1,0.005
0.578,reactive,drive_to_B,0.0163,0.0,0.01,1,0.005
0.728,reactive,drive_to_B,0.0264,0.0,0.02,1,0.005
0.878,reactive,drive_to_B,0.0376,0.0,0.02,1,0.005
0.978,reactive,drive_to_B,0.0473,0.0,0.03,1,0.005
1.128,reactive,drive_to_B,0.0603,0.0,0.03,1,0.005
1.228,reactive,drive_to_B,0.0723,0.0001,0.04,1,0.005
1.378,reactive,drive_to_B,0.0877,0.0001,0.05,1,0.005
1.478,reactive,drive_to_B,0.098,0.0001,0.05,1,0.005
1.579,reactive,drive_to_B,0.1126,0.0001,0.05,1,0.005
1.728,reactive,drive_to_B,0.1256,0.0001,0.06,1,0.005
1.878,reactive,drive_to_B,0.1271,0.0001,0.06,1,0.005
2.028,reactive,drive_to_B,0.1305,0.0001,0.06,1,0.005
2.128,reactive,drive_to_B,0.1338,0.0001,0.06,1,0.005
2.228,reactive,drive_to_B,0.1363,0.0001,0.06,1,0.005
2.328,reactive,drive_to_B,0.1403,0.0001,0.06,1,0.005
2.478,reactive,drive_to_B,0.1468,0.0001,0.07,1,0.005
2.628,reactive,drive_to_B,0.1568,0.0001,0.07,1,0.005
2.728,reactive,drive_to_B,0.1633,0.0001,0.07,1,0.005
2.878,reactive,drive_to_B,0.1747,0.0001,0.07,1,0.005
2.978,reactive,drive_to_B,0.1825,0.0001,0.07,1,0.005
3.078,reactive,drive_to_B,0.1905,0.0002,0.07,1,0.005
3.228,reactive,drive_to_B,0.2097,0.0002,0.07,1,0.005
3.378,reactive,drive_to_B,0.2266,0.0002,0.08,1,0.005
3.478,reactive,drive_to_B,0.2373,0.0002,0.08,1,0.005
3.628,reactive,drive_to_B,0.254,0.0002,0.08,1,0.005
3.728,reactive,drive_to_B,0.2546,0.0002,0.08,1,0.005
3.878,reactive,drive_to_B,0.2565,0.0002,0.09,1,0.005
4.028,reactive,drive_to_B,0.2595,0.0002,0.09,1,0.005
4.128,reactive,drive_to_B,0.2626,0.0002,0.09,1,0.005
4.278,reactive,drive_to_B,0.2678,0.0002,0.09,1,0.005
4.428,reactive,drive_to_B,0.274,0.0002,0.09,1,0.005
4.578,reactive,drive_to_B,0.2816,0.0002,0.09,1,0.005
4.728,reactive,drive_to_B,0.2907,0.0002,0.09,1,0.005
4.829,reactive,drive_to_B,0.2965,0.0002,0.09,1,0.005
4.978,reactive,drive_to_B,0.3069,0.0002,0.1,1,0.005
5.078,reactive,drive_to_B,0.3172,0.0003,0.1,1,0.005
5.228,reactive,drive_to_B,0.332,0.0003,0.11,1,0.005
5.328,reactive,drive_to_B,0.3411,0.0003,0.11,1,0.005
5.478,reactive,drive_to_B,0.3615,0.0003,0.11,1,0.005
5.578,reactive,drive_to_B,0.372,0.0003,0.11,1,0.005
5.678,reactive,drive_to_B,0.3803,0.0003,0.12,1,0.005
5.828,reactive,drive_to_B,0.3815,0.0003,0.12,1,0.005
5.928,reactive,drive_to_B,0.3836,0.0003,0.12,1,0.005
6.078,reactive,drive_to_B,0.387,0.0003,0.12,1,0.005
6.178,reactive,drive_to_B,0.3901,0.0003,0.12,1,0.005
6.328,reactive,drive_to_B,0.3956,0.0003,0.12,1,0.005
6.478,reactive,drive_to_B,0.4022,0.0003,0.12,1,0.005
6.628,reactive,drive_to_B,0.4112,0.0003,0.12,1,0.005
6.779,reactive,drive_to_B,0.4217,0.0004,0.13,1,0.005
6.928,reactive,drive_to_B,0.4308,0.0004,0.13,1,0.005
7.028,reactive,drive_to_B,0.4415,0.0004,0.14,1,0.005
7.178,reactive,drive_to_B,0.4551,0.0004,0.14,1,0.005
7.328,reactive,drive_to_B,0.4717,0.0004,0.14,1,0.005
7.428,reactive,drive_to_B,0.4779,0.0004,0.14,1,0.005
7.528,reactive,drive_to_B,0.4894,0.0004,0.14,1,0.005
7.628,reactive,drive_to_B,0.4935,0.0004,0.14,1,0.005
7.728,reactive,drive_to_B,0.4945,0.0004,0.14,1,0.005
7.878,reactive,drive_to_B,0.4966,0.0004,0.14,1,0.005
7.978,reactive,drive_to_B,0.499,0.0004,0.14,1,0.005
8.128,reactive,drive_to_B,0.5031,0.0004,0.14,1,0.005
8.278,reactive,drive_to_B,0.5089,0.0005,0.14,1,0.005
8.428,reactive,drive_to_B,0.5153,0.0005,0.15,1,0.005
8.528,reactive,drive_to_B,0.5223,0.0005,0.15,1,0.005
8.678,reactive,drive_to_B,0.5318,0.0005,0.15,1,0.005
8.778,reactive,drive_to_B,0.5402,0.0005,0.15,1,0.005
8.928,reactive,drive_to_B,0.5533,0.0005,0.16,1,0.005
9.028,reactive,drive_to_B,0.5618,0.0005,0.16,1,0.005
9.128,reactive,drive_to_B,0.5696,0.0005,0.16,1,0.005
9.278,reactive,drive_to_B,0.5841,0.0005,0.16,1,0.005
9.428,reactive,drive_to_B,0.6029,0.0006,0.16,1,0.005
9.578,reactive,drive_to_B,0.6224,0.0006,0.16,1,0.005
9.678,reactive,drive_to_B,0.6336,0.0006,0.17,1,0.005
9.828,reactive,drive_to_B,0.6448,0.0006,0.17,1,0.005
9.928,reactive,drive_to_B,0.646,0.0006,0.17,1,0.005
10.078,reactive,drive_to_B,0.6492,0.0006,0.17,1,0.005
10.228,reactive,drive_to_B,0.6527,0.0006,0.17,1,0.005
10.328,reactive,drive_to_B,0.6555,0.0006,0.17,1,0.005
10.478,reactive,drive_to_B,0.6619,0.0006,0.17,1,0.005
10.578,reactive,drive_to_B,0.667,0.0006,0.17,1,0.005
10.728,reactive,drive_to_B,0.6744,0.0006,0.17,1,0.005
10.828,reactive,drive_to_B,0.6793,0.0006,0.17,1,0.005
10.978,reactive,drive_to_B,0.6911,0.0007,0.17,1,0.005
11.078,reactive,drive_to_B,0.6988,0.0007,0.18,1,0.005
11.228,reactive,drive_to_B,0.7085,0.0007,0.18,1,0.005
11.328,reactive,drive_to_B,0.7199,0.0007,0.19,1,0.005
11.428,reactive,drive_to_B,0.7287,0.0007,0.19,1,0.005
11.578,reactive,drive_to_B,0.7449,0.0008,0.19,1,0.005
11.678,reactive,drive_to_B,0.755,0.0008,0.19,1,0.005
11.828,reactive,drive_to_B,0.7767,0.0008,0.2,1,0.005
11.978,reactive,drive_to_B,0.7931,0.0009,0.2,1,0.005
12.128,reactive,drive_to_B,0.7938,0.0009,0.2,1,0.005
12.228,reactive,drive_to_B,0.7954,0.0009,0.2,1,0.005
12.378,reactive,drive_to_B,0.7992,0.0009,0.2,1,0.005
12.478,reactive,drive_to_B,0.8028,0.0009,0.2,1,0.005
12.628,reactive,drive_to_B,0.8089,0.0009,0.2,1,0.005
12.778,reactive,drive_to_B,0.8163,0.0009,0.21,1,0.005
12.928,reactive,drive_to_B,0.824,0.0009,0.21,1,0.005
13.078,reactive,drive_to_B,0.8383,0.0009,0.21,1,0.005
13.178,reactive,drive_to_B,0.8474,0.001,0.21,1,0.005
13.279,reactive,drive_to_B,0.8577,0.001,0.22,1,0.005
13.428,reactive,drive_to_B,0.8698,0.001,0.22,1,0.005
13.579,reactive,drive_to_B,0.889,0.001,0.23,1,0.005
13.728,reactive,drive_to_B,0.9065,0.001,0.23,1,0.005
13.828,reactive,drive_to_B,0.9178,0.0011,0.23,1,0.005
13.978,reactive,drive_to_B,0.9208,0.0011,0.23,1,0.005
14.078,reactive,drive_to_B,0.922,0.0011,0.23,1,0.005
14.228,reactive,drive_to_B,0.9251,0.0011,0.23,1,0.005
14.328,reactive,drive_to_B,0.928,0.0011,0.23,1,0.005
14.428,reactive,drive_to_B,0.9312,0.0011,0.23,1,0.005
14.578,reactive,drive_to_B,0.938,0.0011,0.23,1,0.005
14.728,reactive,drive_to_B,0.9458,0.0011,0.24,1,0.005
14.878,reactive,drive_to_B,0.9556,0.0011,0.24,1,0.005
15.028,reactive,drive_to_B,0.9681,0.0011,0.24,1,0.005
15.178,reactive,drive_to_B,0.9814,0.0012,0.25,1,0.005
15.278,reactive,drive_to_B,0.9894,0.0012,0.25,1,0.005
15.428,reactive,drive_to_B,1.0071,0.0012,0.25,1,0.005
15.528,reactive,drive_to_B,1.0162,0.0012,0.25,1,0.005
15.678,reactive,drive_to_B,1.0369,0.0013,0.25,1,0.005
15.778,reactive,drive_to_B,1.0476,0.0013,0.26,1,0.005
15.878,reactive,drive_to_B,1.0521,0.0013,0.26,1,0.005
16.028,reactive,drive_to_B,1.054,0.0013,0.26,1,0.005
16.178,reactive,drive_to_B,1.0574,0.0013,0.26,1,0.005
16.328,reactive,drive_to_B,1.062,0.0013,0.26,1,0.005
16.478,reactive,drive_to_B,1.0677,0.0013,0.26,1,0.005
16.578,reactive,drive_to_B,1.0727,0.0013,0.26,1,0.005
16.728,reactive,drive_to_B,1.081,0.0014,0.27,1,0.005
16.828,reactive,drive_to_B,1.0877,0.0014,0.27,1,0.005
16.928,reactive,drive_to_B,1.0952,0.0014,0.27,1,0.005
17.078,reactive,drive_to_B,1.107,0.0014,0.27,1,0.005
17.228,reactive,drive_to_B,1.1187,0.0014,0.27,1,0.005
17.378,reactive,drive_to_B,1.1311,0.0015,0.28,1,0.005
17.528,reactive,drive_to_B,1.1332,0.002,-0.0,1,0.005
17.678,reactive,drive_to_B,1.1332,0.002,-0.0,1,0.005
17.778,reactive,drive_to_B,1.1332,0.002,-0.0,1,0.005
17.928,reactive,drive_to_B,1.1332,0.002,-0.0,1,0.005
18.078,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
18.228,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
18.378,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
18.528,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
18.628,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
18.778,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
18.928,reactive,drive_to_B,1.1331,0.002,0.01,1,0.005
19.078,reactive,drive_to_B,1.1332,0.002,-0.0,1,0.005
19.228,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
19.378,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
19.528,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
19.628,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
19.778,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
19.878,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
20.028,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
20.178,reactive,drive_to_B,1.1331,0.002,-0.0,1,0.005
