epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,415.173,1.27746,4.83816,0.00957,0.45242,0.19228,0.17665,0.11982,1.45575,2.58636,0.01196,0.00994595,0.00331532,0.00994595,0.00331532,0.00994595,0.00331532,0.00994595,0.00331532
2,614.337,1.42652,3.46274,0.01163,0.39415,0.23078,0.2136,0.1371,1.58347,2.58867,0.01431,0.0198143,0.00660477,0.0198143,0.00660477,0.0198143,0.00660477,0.0198143,0.00660477
3,812.715,1.59104,3.36179,0.01415,0.37314,0.04151,0.03329,0.01699,2.04566,4.80517,0.02197,0.0295507,0.00985022,0.0295507,0.00985022,0.0295507,0.00985022,0.0295507,0.00985022
4,1011.69,1.76888,3.24585,0.01698,0.28772,0.09075,0.0685,0.03549,1.97886,3.65394,0.02026,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1209.7,1.7794,2.91308,0.01709,0.28374,0.14616,0.11911,0.0659,1.9131,3.03759,0.01916,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1407.31,1.75841,2.7386,0.0168,0.28965,0.15517,0.12467,0.07042,1.91909,3.22707,0.01967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1605.12,1.74651,2.62541,0.01648,0.35833,0.18626,0.16501,0.09388,1.85665,2.8701,0.01859,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1802.35,1.72918,2.55995,0.01622,0.33736,0.16298,0.14181,0.083,1.89962,2.9531,0.01971,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2000.1,1.72383,2.49558,0.01607,0.3549,0.19729,0.18095,0.10338,1.82259,2.67656,0.01844,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2197.51,1.71429,2.43421,0.01586,0.34096,0.19991,0.18168,0.10617,1.86481,2.79281,0.01846,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2395.83,1.6988,2.38288,0.0158,0.38173,0.21293,0.19739,0.11629,1.84788,2.75915,0.018,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2594.44,1.68982,2.34914,0.01552,0.37073,0.22442,0.20176,0.11812,1.84118,2.65818,0.01772,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2793.34,1.67638,2.31947,0.0154,0.38167,0.23033,0.21499,0.12995,1.78567,2.63623,0.01716,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2991.54,1.67956,2.27932,0.01525,0.39063,0.23023,0.22766,0.13805,1.78626,2.62739,0.01724,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,3189.67,1.66437,2.25489,0.015,0.39513,0.23904,0.22775,0.13629,1.78953,2.55025,0.01761,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,3387.86,1.65276,2.2217,0.01501,0.3955,0.24978,0.23348,0.14395,1.74944,2.48194,0.01653,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,3585.82,1.65909,2.18472,0.01487,0.40891,0.25937,0.24722,0.1501,1.77352,2.39151,0.01695,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3784.05,1.64086,2.15258,0.01462,0.41232,0.26118,0.25159,0.15489,1.73257,2.47894,0.0164,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3983.58,1.64062,2.13727,0.01461,0.40695,0.27319,0.25922,0.16202,1.71686,2.38184,0.01602,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,4182.47,1.63357,2.1126,0.0146,0.41292,0.2512,0.24743,0.15425,1.72641,2.46237,0.0168,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,4381.42,1.62797,2.09661,0.01445,0.42789,0.2685,0.2631,0.16394,1.69284,2.43794,0.01589,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,4580.28,1.62437,2.0679,0.01441,0.42757,0.28228,0.27845,0.17597,1.70009,2.35009,0.01604,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,4779.99,1.62096,2.05047,0.01424,0.42222,0.28604,0.26945,0.16856,1.69195,2.3207,0.01576,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,4980.19,1.6159,2.04359,0.0142,0.41004,0.28552,0.27231,0.17118,1.67496,2.28364,0.01552,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,5180.89,1.60495,2.02971,0.01408,0.43819,0.29111,0.28787,0.18038,1.6883,2.30776,0.01564,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,5380.62,1.60484,2.00885,0.01404,0.46542,0.31172,0.31068,0.19771,1.64584,2.18148,0.01497,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,5580.15,1.59185,1.97219,0.01401,0.44528,0.29866,0.29582,0.18595,1.67268,2.2521,0.01544,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,5778.9,1.58869,1.96619,0.01398,0.43746,0.30149,0.29927,0.1911,1.62996,2.18945,0.01488,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,5977.82,1.59412,1.96187,0.01385,0.45476,0.31567,0.31214,0.19906,1.6405,2.16811,0.01482,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,6176.4,1.58751,1.94747,0.01382,0.47305,0.31632,0.3201,0.20448,1.6228,2.14159,0.01485,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,6375.07,1.58306,1.92862,0.01371,0.47239,0.32443,0.32497,0.20934,1.62477,2.14204,0.01474,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,6573.84,1.57918,1.91154,0.01373,0.46225,0.31777,0.32083,0.20811,1.61372,2.15958,0.01473,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,6772.15,1.57545,1.89869,0.01353,0.4708,0.32235,0.32809,0.21276,1.62339,2.15509,0.01472,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,6971.15,1.57546,1.88592,0.01351,0.4695,0.3324,0.33316,0.21806,1.59714,2.10374,0.01434,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,7170.17,1.56441,1.87842,0.01344,0.47612,0.33403,0.33629,0.21707,1.60713,2.07205,0.01453,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,7368.83,1.56396,1.87276,0.01338,0.47555,0.33728,0.3375,0.22013,1.60098,2.08041,0.01435,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,7567.27,1.55864,1.8602,0.01339,0.49156,0.33317,0.34091,0.22235,1.59333,2.101,0.01426,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,7765.58,1.56109,1.83982,0.01329,0.48431,0.34237,0.34553,0.22712,1.58255,2.05909,0.01404,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
