epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,303.616,1.43436,4.91795,0.00831,0.63375,0.12793,0.13209,0.09646,1.317,2.82018,0.01,0.00596757,0.00198919,0.00596757,0.00198919,0.00596757,0.00198919,0.00596757,0.00198919
2,545.134,1.5207,3.52216,0.00903,0.44242,0.32011,0.31632,0.22054,1.38899,2.12155,0.01106,0.0118491,0.0039497,0.0118491,0.0039497,0.0118491,0.0039497,0.0118491,0.0039497
3,786.27,1.53922,3.11272,0.00945,0.47012,0.3566,0.35238,0.24097,1.43174,1.99493,0.01182,0.0176118,0.0058706,0.0176118,0.0058706,0.0176118,0.0058706,0.0176118,0.0058706
4,1028.72,1.58641,2.89652,0.00988,0.47946,0.35056,0.35218,0.22782,1.5416,2.04858,0.01323,0.0232557,0.00775191,0.0232557,0.00775191,0.0232557,0.00775191,0.0232557,0.00775191
5,1269.88,1.65568,2.69021,0.01075,0.39979,0.33313,0.30927,0.18737,1.71037,2.30484,0.01568,0.0287809,0.00959362,0.0287809,0.00959362,0.0287809,0.00959362,0.0287809,0.00959362
6,1511.47,1.713,2.54771,0.01132,0.43848,0.34848,0.32967,0.20052,1.67091,2.19994,0.01528,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1752.71,1.70737,2.45872,0.01121,0.467,0.34876,0.34168,0.21104,1.64899,2.0782,0.01489,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1994.45,1.69399,2.38316,0.01115,0.49074,0.35555,0.35836,0.22398,1.69156,2.00174,0.01547,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2235.88,1.68888,2.3455,0.0111,0.49215,0.36735,0.36524,0.22578,1.65354,1.99174,0.01483,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2477.13,1.687,2.32399,0.01113,0.5027,0.37767,0.37868,0.23805,1.62321,1.95572,0.01432,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
