epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,136.304,1.19706,3.787,1.20302,0.4947,0.21967,0.21405,0.14052,1.38288,2.50385,1.31007,0.00994595,0.00331532,0.00994595,0.00331532,0.00994595,0.00331532,0.00994595,0.00331532
2,274.161,1.38844,2.54633,1.34528,0.25539,0.10375,0.06178,0.03339,1.79673,3.23986,1.69678,0.0198143,0.00660477,0.0198143,0.00660477,0.0198143,0.00660477,0.0198143,0.00660477
3,419.428,1.60851,2.84905,1.5239,0.21307,0.03397,0.01137,0.00522,2.18029,4.80747,2.28965,0.0295507,0.00985022,0.0295507,0.00985022,0.0295507,0.00985022,0.0295507,0.00985022
4,563.551,1.731,3.09022,1.65144,0.01626,0.12204,0.01897,0.01052,2.09999,5.17654,2.09976,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,708.235,1.67523,2.85994,1.6093,0.23625,0.09671,0.05184,0.02802,1.88904,3.39075,1.83857,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,850.096,1.61053,2.68485,1.5645,0.26728,0.13373,0.10167,0.05755,1.73572,2.86911,1.67658,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,993.493,1.57615,2.51419,1.53728,0.25052,0.1577,0.11232,0.06264,1.72895,2.80019,1.66231,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1136.46,1.545,2.40286,1.51458,0.30763,0.1706,0.13977,0.08094,1.6679,2.64754,1.61394,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1278.75,1.52104,2.31365,1.49383,0.28761,0.16382,0.13514,0.07833,1.67101,2.79286,1.6326,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1419.75,1.5063,2.24454,1.48043,0.31884,0.18161,0.15027,0.08918,1.64051,2.60103,1.58229,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1559.29,1.48339,2.17829,1.46885,0.31406,0.20958,0.17495,0.10404,1.60596,2.36181,1.53997,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1699.04,1.46839,2.12747,1.45135,0.31217,0.22417,0.18674,0.11332,1.55336,2.29375,1.50062,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1841.33,1.45223,2.08502,1.44529,0.30416,0.21709,0.18322,0.11083,1.57184,2.33454,1.53608,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
