epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5354.39,1.31685,1.70223,1.29616,0.5806,0.42448,0.44856,0.30284,1.25585,1.40476,1.24492,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5519.65,1.3131,1.69597,1.29441,0.57247,0.4212,0.44701,0.30315,1.2537,1.39006,1.24241,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5686.32,1.312,1.70291,1.29317,0.57823,0.41823,0.44738,0.30152,1.25786,1.39752,1.24519,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5853.08,1.31362,1.70117,1.29406,0.56291,0.43014,0.45001,0.30441,1.25356,1.3889,1.24218,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6019.8,1.30581,1.68608,1.28737,0.55936,0.43137,0.45093,0.30571,1.24888,1.38658,1.2393,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6186.3,1.30693,1.67247,1.28695,0.564,0.42829,0.45079,0.30616,1.24669,1.385,1.2351,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6352.3,1.30684,1.68558,1.28947,0.57574,0.42946,0.454,0.30885,1.24622,1.37553,1.23642,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6518.15,1.29822,1.67118,1.28427,0.59368,0.41488,0.45353,0.30826,1.24118,1.37423,1.23448,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6683.35,1.30144,1.67321,1.28644,0.57108,0.42722,0.45369,0.30862,1.2395,1.37742,1.23126,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6848.62,1.29764,1.66679,1.28236,0.57805,0.42913,0.455,0.30958,1.23685,1.37207,1.22978,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7014.46,1.30106,1.66687,1.28282,0.56131,0.43872,0.45699,0.30958,1.24073,1.3702,1.22998,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7179.95,1.29509,1.66263,1.27997,0.57635,0.42929,0.45703,0.31093,1.23339,1.36681,1.22794,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7345.3,1.29264,1.66111,1.27862,0.57022,0.43165,0.45599,0.31133,1.23385,1.36628,1.2277,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7510.87,1.29518,1.65238,1.27704,0.59541,0.42556,0.45893,0.31174,1.23248,1.36414,1.22633,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7676.56,1.29302,1.65296,1.27745,0.58186,0.42706,0.45582,0.31094,1.23175,1.36156,1.22571,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7842.49,1.29058,1.65157,1.27551,0.55978,0.43857,0.45923,0.31335,1.23259,1.36078,1.22261,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8008.33,1.29504,1.6421,1.27696,0.56849,0.43726,0.46001,0.31433,1.23,1.35413,1.22194,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8173.99,1.29025,1.64696,1.27267,0.55144,0.44047,0.45789,0.31314,1.22919,1.35582,1.22043,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8340.65,1.28758,1.64513,1.27193,0.57744,0.4334,0.45696,0.31233,1.22535,1.35339,1.21988,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8507.33,1.2888,1.64371,1.27393,0.58553,0.42987,0.45861,0.31298,1.2252,1.34995,1.21957,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8673.65,1.28141,1.62904,1.26779,0.57838,0.43489,0.4599,0.3143,1.22582,1.35098,1.21992,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8839.62,1.29045,1.63096,1.26836,0.58614,0.43356,0.46123,0.31463,1.22347,1.34804,1.21815,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9006,1.28763,1.6282,1.26741,0.57723,0.43663,0.46145,0.31572,1.2221,1.34526,1.21599,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9172.04,1.28553,1.62727,1.26777,0.58703,0.43387,0.46308,0.31717,1.22203,1.34679,1.21612,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9337.46,1.28657,1.62806,1.26792,0.57886,0.43937,0.46336,0.31774,1.22079,1.34265,1.21553,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9503.39,1.27044,1.60593,1.26164,0.58869,0.43851,0.46496,0.31847,1.21926,1.3401,1.21322,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9668.94,1.27519,1.61312,1.2642,0.60022,0.42858,0.46465,0.31836,1.21762,1.34206,1.21374,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9834.71,1.27786,1.61689,1.26461,0.60268,0.42444,0.46431,0.31877,1.21734,1.34083,1.21341,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10000.5,1.27737,1.61627,1.26412,0.58559,0.43275,0.46529,0.31892,1.21548,1.33976,1.21193,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10166.7,1.27299,1.60167,1.25734,0.57709,0.43802,0.46542,0.31971,1.21391,1.33859,1.21086,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10333.7,1.26783,1.60357,1.25766,0.59164,0.43498,0.46708,0.32074,1.2129,1.33689,1.21002,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10500.9,1.26845,1.60004,1.25812,0.57887,0.44282,0.46843,0.32163,1.21173,1.33566,1.20954,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10667,1.27069,1.60236,1.2594,0.58607,0.43859,0.46791,0.32178,1.21103,1.33586,1.20883,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10833.5,1.26142,1.59053,1.25429,0.58148,0.44167,0.46817,0.32126,1.21146,1.33515,1.20861,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10999.5,1.26962,1.60165,1.25909,0.58752,0.43903,0.46771,0.32146,1.21174,1.33376,1.20866,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11166.1,1.26292,1.58636,1.25208,0.59206,0.4338,0.4678,0.32184,1.21112,1.33178,1.20818,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11332.3,1.27008,1.59115,1.25421,0.58905,0.43569,0.46784,0.32172,1.20965,1.33173,1.2074,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11498.7,1.26374,1.59515,1.25553,0.59397,0.43452,0.46762,0.32184,1.2091,1.33059,1.20757,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11665.1,1.25925,1.57825,1.25016,0.59654,0.4347,0.46825,0.32182,1.20961,1.32914,1.20744,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11831.2,1.26212,1.58973,1.25173,0.59107,0.43577,0.46801,0.32196,1.20958,1.3293,1.20733,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11997.5,1.25536,1.57588,1.24857,0.59517,0.43402,0.46835,0.32222,1.20888,1.32927,1.20734,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12163.5,1.25394,1.56959,1.24913,0.59117,0.43465,0.46821,0.32247,1.20837,1.32901,1.20719,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12328.9,1.25283,1.57682,1.24943,0.58966,0.43435,0.468,0.32251,1.20836,1.32896,1.2071,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12494.7,1.25112,1.56387,1.24622,0.58415,0.43773,0.46827,0.32241,1.20872,1.32789,1.20714,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12660.4,1.25785,1.57934,1.24745,0.58393,0.44037,0.46823,0.32223,1.20866,1.32794,1.20682,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12826.3,1.25094,1.5661,1.245,0.58952,0.43835,0.46842,0.32237,1.20835,1.32756,1.20637,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12992.3,1.25376,1.56043,1.24632,0.58928,0.43955,0.46851,0.32239,1.20821,1.32742,1.20621,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,13158,1.25079,1.56358,1.24594,0.58744,0.44007,0.4686,0.32274,1.20802,1.32679,1.20617,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13323.7,1.24409,1.55262,1.24119,0.58709,0.44048,0.46872,0.32253,1.20736,1.32683,1.20566,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13490.1,1.24772,1.55589,1.24274,0.59048,0.4389,0.46919,0.32294,1.20734,1.32664,1.20549,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13658.7,1.23882,1.55699,1.23955,0.58991,0.43968,0.46874,0.32289,1.20718,1.32605,1.20549,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,13826.4,1.24584,1.54899,1.24067,0.59169,0.4392,0.46891,0.3232,1.20748,1.32601,1.20565,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,13994.8,1.24454,1.54818,1.24106,0.59415,0.43849,0.46895,0.3235,1.20742,1.32612,1.20544,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,14164.4,1.24338,1.54866,1.24245,0.59713,0.43778,0.46929,0.32354,1.20708,1.32579,1.20526,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14333.9,1.23897,1.54517,1.24128,0.59777,0.43691,0.46916,0.3234,1.20677,1.32569,1.20511,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14504.9,1.23988,1.54226,1.2403,0.59878,0.43652,0.46927,0.32324,1.20647,1.32566,1.20482,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14677.2,1.24282,1.54616,1.2411,0.59764,0.43626,0.4694,0.32333,1.20633,1.32536,1.20474,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14848.4,1.23613,1.53717,1.23844,0.59704,0.43696,0.46944,0.32342,1.20644,1.32543,1.20472,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,15019.5,1.23082,1.53386,1.23447,0.5987,0.43651,0.4696,0.3235,1.20642,1.32535,1.20472,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15194.7,1.25076,1.40558,1.2572,0.59886,0.43695,0.46928,0.32341,1.20635,1.3252,1.20473,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15364.3,1.24511,1.39258,1.25558,0.60008,0.43561,0.46902,0.32336,1.20609,1.32511,1.2045,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15533.1,1.23903,1.37456,1.25044,0.59924,0.43606,0.46918,0.32342,1.2057,1.32514,1.20419,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15702.2,1.23872,1.37887,1.24766,0.59902,0.43634,0.46937,0.3235,1.20547,1.32484,1.20404,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,15871.1,1.23704,1.37233,1.2465,0.5958,0.4388,0.46953,0.32346,1.20512,1.32478,1.20379,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,16040.7,1.23676,1.37089,1.24888,0.59206,0.43978,0.46954,0.32353,1.20498,1.32459,1.2037,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16210,1.23524,1.36272,1.24664,0.59239,0.43978,0.46952,0.32358,1.20487,1.32446,1.20361,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16379,1.2281,1.35335,1.24187,0.59041,0.44045,0.46944,0.32344,1.20502,1.32438,1.2036,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16548.7,1.23214,1.35608,1.24365,0.59012,0.43999,0.4694,0.32345,1.2049,1.32429,1.20351,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16718,1.23022,1.35775,1.24398,0.59288,0.43906,0.46947,0.32344,1.20489,1.32445,1.20345,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
