epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,234.887,1.3093,3.77252,1.2733,0.51734,0.2829,0.27542,0.18442,1.26345,2.10975,1.24193,0.00596757,0.00198919,0.00596757,0.00198919,0.00596757,0.00198919,0.00596757,0.00198919
2,410.159,1.3738,2.28149,1.31551,0.52443,0.38612,0.38695,0.25412,1.28525,1.70885,1.23611,0.0118491,0.0039497,0.0118491,0.0039497,0.0118491,0.0039497,0.0118491,0.0039497
3,586.718,1.39472,2.13499,1.33514,0.48796,0.38147,0.36451,0.22945,1.37412,1.80494,1.31642,0.0176118,0.0058706,0.0176118,0.0058706,0.0176118,0.0058706,0.0176118,0.0058706
4,763.761,1.44595,2.16235,1.36607,0.44236,0.3536,0.3365,0.20385,1.46069,2.01697,1.3968,0.0232557,0.00775191,0.0232557,0.00775191,0.0232557,0.00775191,0.0232557,0.00775191
5,956.255,1.49841,2.20396,1.40772,0.4013,0.31616,0.27183,0.15719,1.50862,3.19174,1.49388,0.0287809,0.00959362,0.0287809,0.00959362,0.0287809,0.00959362,0.0287809,0.00959362
6,1153.42,1.5171,2.16186,1.4266,0.44796,0.3415,0.32259,0.19323,1.46733,2.22627,1.41798,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1347.78,1.47921,2.05971,1.40462,0.47822,0.36173,0.352,0.21544,1.43743,1.74881,1.39794,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1541.94,1.44965,1.98044,1.38391,0.48332,0.36437,0.36011,0.22496,1.39674,1.64286,1.3529,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1736.68,1.4288,1.94091,1.37781,0.49956,0.37768,0.37871,0.23809,1.38792,1.66433,1.35424,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1931.27,1.41751,1.91152,1.3692,0.5201,0.37925,0.38202,0.24391,1.37324,1.6262,1.33696,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
